mcq_id,question,difficulty,correct_option,option_b,option_c,option_d,topic,topic_name,option_a,id
97,Differentiate $\displaystyle{y = (4x^{3}-x)(5-5x)}$.,1,$y'=\displaystyle{5(-16x^{3}+12x^{2}+2x-1)}$ ,$y'=\displaystyle{5(16x^{3}+12x^{2}+2x-1)}$ ,$y'=\displaystyle{5(16x^{3}+12x^{2}+2x+1)}$ ,$y'=\displaystyle{5(-16x^{3}+12x^{2}+2x-5)}$ ,4,Differentiation,$y'=\displaystyle{5(-16x^{3}+12x^{2}+2x-1)}$ ,18
98,Differentiate $\displaystyle{y = (2x^{2}+4x^{3})(3x^{3}-4x^{2})}$.,1,$\displaystyle{y'=72x^{5}-50x^{4}-32x^{3}}$  ,$\displaystyle{y'=72x^{5}+50x^{4}+32x^{3}}$  ,$\displaystyle{y'=72x^{5}-50x^{4}+32x^{3}}$  ,$\displaystyle{y'=72x^{5}+50x^{4}-32x^{3}}$  ,4,Differentiation,$\displaystyle{y'=72x^{5}-50x^{4}-32x^{3}}$  ,19
100,Differentiate $\displaystyle{y = (4x^{3}-x)(5-5x)}$ and find the value of ${\dfrac{dy}{dx}}$ if ${x=1}$.,4,$-15$,$15$,$13$,$-13$,4,Differentiation,$-15$,20
101,Differentiate  $\displaystyle{y = (4x^\frac{3}{2})\tan\left(x\right)}$.,4,$y'=6\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$,$y´=-6\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$,$y´=4\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$,$y´=-4\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$,4,Differentiation,$y'=6\sqrt{x}\tan\left(x\right)+4\sqrt{x^{3}}{\sec^{2}\left(x\right)}$,21
102,"Make $r$ the subject of the expression

$p=q+r$",4,$r=p-q$,$r=p+q$,$r=\frac{p}{q}$,$r=q-p$,7,Fundamental Mathematics,$r=p-q$,22
104,"Make $d$ the subject of the expression

$b=c-d$",4,$d = c - b$,$d =b + c$,$d = \frac{b}{c}$,$d = b - c$,7,Fundamental Mathematics,$d = c - b$,23
108,"Make $a$ the subject of the expression

$mz=ad$",4,$a=\frac{mz}{d}$,$a=\frac{d}{mz}$,$a=d+mz$,$a=d-mz$,7,Fundamental Mathematics,$a=\frac{mz}{d}$,24
112,"Make $d$ the subject of the expression

$p=\frac{\pi d}{2}$",4,$d=\frac{2p}{\pi}$,$d={\frac{\pi}{2}}-p$,$d=\frac{\pi}{2p}$,$d=\frac{2\pi}{p}$,7,Fundamental Mathematics,$d=\frac{2p}{\pi}$,25
113,"Consider $m \neq 0$. Make $x$ the subject of the expression

$y=mx+c$",4,$x=\frac{y-c}{m}$,$x=\frac{y}{m+c}$,$x=m+c-y$,$x=\frac{y-m}{c}$,7,Fundamental Mathematics,$x=\frac{y-c}{m}$,26
114,"Make $r$ the subject of the expression

$A=4\pi r^2$",4,$r=\pm \sqrt\frac{A}{4 \pi}$,$r=\pm \sqrt\frac{4 \pi}{A}$,$r=\frac{A^2}{4\pi}$,$r=\sqrt{4\pi-A}$,7,Fundamental Mathematics,$r=\pm \sqrt\frac{A}{4 \pi}$,27
117,"Consider $m \neq 0$. Make $v$ the subject of the expression

$K=\frac{1}{2}mv^2$",3,$v=\sqrt\frac{2K}{m}$,$v=\sqrt\frac{Km}{2}$,$v=\sqrt\frac{2}{Km}$,$v=\frac{2K^2}{m}$,7,Fundamental Mathematics,$v=\sqrt\frac{2K}{m}$,28
118,"Make $r$ the subject of the expression

$v=\dfrac{2}{3}\pi r^3$",1,\[ r = \sqrt[3]{\frac{3v}{2\pi}} \],\[r = \sqrt[3]{\frac{2\pi}{3v}} \],$r= \dfrac{2\pi}{3v^3}$,\[ r = \sqrt[3]{\frac{2v}{3\pi}} \],7,Fundamental Mathematics,\[ r = \sqrt[3]{\frac{3v}{2\pi}} \],29
120,"Make $x$ the subject of the expression

$y=\displaystyle \sqrt\frac{3x}{4k}$",1,$x=\dfrac{4}{3}ky^2$,$x=\dfrac{3}{4}ky^2$,$x=\dfrac{4}{3}k^2y$,$x=\displaystyle \sqrt\frac{3y}{4k}$,7,Fundamental Mathematics,$x=\dfrac{4}{3}ky^2$,30
121,"Make $b$ the subject of the expression

$\frac{p}{q}=\sqrt\frac{(a +2b)}{(a-2b)}$",3,$b=\frac{a(p^2-q^2)}{2(p^2 +q^2)}$,$b=\frac{2(p^2 +q^2)}{a(p^2-q^2)}$,$b=\sqrt\frac{q}{-p}$,$b=-\sqrt\frac{1+q}{1-p}$,7,Fundamental Mathematics,$b=\frac{a(p^2-q^2)}{2(p^2 +q^2)}$,31
142,Differentiate $y = (x^4 - 4x +1)^4$.,1,$\frac{dy}{dx} = 4(x^4 - 4x +1)^3(4x^3 - 4)$,$\frac{dy}{dx} = 4(x^4 - 4x +1)^3$,$\frac{dy}{dx} = 4(x^4 - 4x +1)(4x^3 - 4)$,$\frac{dy}{dx} = 4(x^4 - 4x + 1)$,4,Differentiation,$\frac{dy}{dx} = 4(x^4 - 4x +1)^3(4x^3 - 4)$,52
143,Differentiate $y = \dfrac{\ln(t)}{t^2+1}$.,3,$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} - 2t\ln(t)}{(t^2 +1)^2}$,$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} + 2t \ln(t) }{(t^2 + 1)^2}$,$\dfrac{dy}{dt} = \dfrac{t^3 + \frac{1}{t} - 2t \ln(t )}{(t^2 + 1)^2}$,$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} - (2t + 1) \ln(t )}{(t^2 + 1)^2}$,4,Differentiation,$\dfrac{dy}{dt} = \dfrac{t + \frac{1}{t} - 2t\ln(t)}{(t^2 +1)^2}$,53
144,Differentiate $y = \dfrac{\operatorname{e}^{-3x}}{x^2+1}$.,4,$\dfrac{dy}{dx} = \dfrac{\operatorname{e}^{-3x} (-3x^2 - 3 -2x)}{(x^2 + 1)^2}$,$\dfrac{dy}{dx} = \dfrac{\operatorname{e}^{-4x} (-3x^2 - 3 -2x)}{(x^2 + 1)^2}$,$\dfrac{dy}{dx} = \dfrac{\operatorname{e}^{-3x} (3x^2 + 3 -2x)}{(x^2 + 1)^2}$,$\dfrac{dy}{dx} = \dfrac{\operatorname{e}^{-3x} (- 3 -2x)}{x^2 + 1}$,4,Differentiation,$\dfrac{dy}{dx} = \dfrac{\operatorname{e}^{-3x} (-3x^2 - 3 -2x)}{(x^2 + 1)^2}$,54
145,Differentiate $f(x) = 2\operatorname{sin}(3x) - 5\operatorname{cos}(2x)$.,1,$f'(x) = 6\operatorname{cos}(3x) + 10\sin(2x)$,$f'(x) = 2\operatorname{cos}(3x) + 5\operatorname{sin}(2x)$,$f'(x) = 6\operatorname{cos}(3x) - 10\operatorname{sin}(2x)$,$f'(x) = 3\operatorname{cos}(3x) -2\operatorname{sin}(2x)$,4,Differentiation,$f'(x) = 6\operatorname{cos}(3x) + 10\sin(2x)$,55
147,Differentiate $y = \operatorname{cos}(1-4x)$.,1,$\frac{dy}{dx}=4\operatorname{sin}(1 - 4x)$,$\frac{dy}{dx}=-4\operatorname{sin}(1 - 4x)$,$\frac{dy}{dx}=-\operatorname{sin}(1 - 4x)$,$\frac{dy}{dx}=-\operatorname{sin}(-4)$,4,Differentiation,$\frac{dy}{dx}=4\operatorname{sin}(1 - 4x)$,57
148,"Calculate the differential of the function $\displaystyle f:{\mathbb R}^2 \rightarrow \mathbb R$, $\displaystyle f(x,y)=\frac{x}{y}\arctan\bigg(\frac{y}{x}\bigg)$.",1,"$\displaystyle df(x,y)=\frac{1}{y}\bigg[\arctan \bigg(\frac{y}{x}\bigg)-\frac{x^2y^2}{x^2+y^2}\bigg]dx+\frac{x}{y^2}\bigg[\frac{xy}{x^2+y^2}-\arctan\bigg(\frac{y}{x}\bigg)\bigg]dy$","$\displaystyle df(x,y)=\frac{1}{y^2}\arctan\bigg(\frac{y}{x}\bigg)dx-\frac{1}{x}\arctan \bigg(\frac{y}{x}\bigg)dy$","$\displaystyle df(x,y)=\frac{1}{y^2}\bigg[\arctan \bigg(\frac{y}{x}\bigg)-\frac{1}{x^2+y^2}\bigg]dx+\frac{x}{y}\bigg[\frac{1}{x^2+y^2}-\arctan \bigg(\frac{y}{x}\bigg)\bigg]dy$","$\displaystyle df(x,y)=\frac{1}{y}\bigg[1-\frac{x^2y^2}{x^2+y^2}\bigg]dx+\frac{x}{y^2}\bigg[\frac{x^2y^2}{x^2+y^2}-\arctan \bigg(\frac{y}{x}\bigg)\bigg]dy$",4,Differentiation,"$\displaystyle df(x,y)=\frac{1}{y}\bigg[\arctan \bigg(\frac{y}{x}\bigg)-\frac{x^2y^2}{x^2+y^2}\bigg]dx+\frac{x}{y^2}\bigg[\frac{xy}{x^2+y^2}-\arctan\bigg(\frac{y}{x}\bigg)\bigg]dy$",58
149,"What can we say about the relative extrema of the function $f:(0,\infty) \times (0,\infty)\rightarrow \mathbb R$ given by $f(x,y)= x^2+xy+y^2-4\ln (x) -10\ln( y)+3$?",3,"The point $M(2,1)$ is a relative minimizer.","The points $M(1,2)$ is a relative maximizer.","The point $M(2,1)$ is a relative maximizer.","The points $M(2,1)$ and $N(1,2)$ are relative minimizer and respectively, relative maximizer.",12,Optimization,"The point $M(2,1)$ is a relative minimizer.",59
150,"The differentiable function $f:{\mathbb R}^2 \rightarrow \mathbb R$, $f(x,y)=y\cdot \varphi (x^2-y^2),$ where $\varphi:\mathbb R\rightarrow \mathbb R$ is a ${\cal C}^1$-class function, satisfies the equation:",3,$\frac{1}{x}\frac{\partial f}{\partial x}+\frac{1}{y}\frac{\partial f}{\partial y}=\frac{1}{y^2}f$,$\frac{1}{y}\frac{\partial f}{\partial x}+\frac{1}{x}\frac{\partial f}{\partial y}=\frac{1}{x^2y^2}f$,$\frac{\partial f}{\partial x}+\frac{\partial f}{\partial y}=\frac{3}{y^2}f$,$\frac{1}{x^2}\frac{\partial f}{\partial x}+\frac{1}{y^2}\frac{\partial f}{\partial y}=\frac{1}{xy}f$,4,Differentiation,$\frac{1}{x}\frac{\partial f}{\partial x}+\frac{1}{y}\frac{\partial f}{\partial y}=\frac{1}{y^2}f$,60
151,"Find the extrema of the function $y=f(x),$ defined implicitly by the equation $x^2-2xy+5y^2-2x+4y+1=0.$",4,The function has one minimum point $x=1$ with the minimum value of the function $y=0$ and a maximum point $x=\dfrac{1}{2}$ with the maximum value of the function $y=-\frac{1}{2}.$,The function has two minimum points $x=1$ and $x=-\dfrac{1}{2}$ with the minimum value of the function $y=\frac{1}{2}.$,The function has no extrema points.,The function has one maximum point $x=1$ with the maximum value of the function $y=0$ and a minimum point $x=\dfrac{1}{2}$ with the minimum value of the function $y=-\frac{1}{2}.$,12,Optimization,The function has one minimum point $x=1$ with the minimum value of the function $y=0$ and a maximum point $x=\dfrac{1}{2}$ with the maximum value of the function $y=-\frac{1}{2}.$,61
152,"Find the conditional extrema of the function $f(x,y)=x^2+y^2-x-y$ having the constraint $x+y=1.$",5,"The problem has the minimizer $\left(\frac{1}{2}, \frac{1}{2}\right),$ the minimum value of the function being $-\frac{1}{2}.$","There are two minimizers $\left(\frac{1}{4}, \frac{3}{4}\right)$ and $\left(\frac{3}{4},\frac{1}{4}\right)$ where the minimum value of the function is $-\frac{3}{8}.$","There are two maximizers $\left(\frac{2}{5}, \frac{3}{5}\right)$ and $\left(\frac{3}{5},\frac{2}{5}\right)$ where the maximum value of the function is $-\frac{12}{25}.$",The problem has no extrema corresponding to this constraint.,12,Optimization,"The problem has the minimizer $\left(\frac{1}{2}, \frac{1}{2}\right),$ the minimum value of the function being $-\frac{1}{2}.$",62
153,"The differentiable function $f:{\mathbb R}^2 \rightarrow \mathbb R$, $f(x,y)=\operatorname{e}^y \varphi \bigg(y\operatorname{e}^{\frac{x^2}{2y^2}}\bigg),$ where $\varphi:\mathbb R\rightarrow \mathbb R$ is a ${\cal C}^1$-class function, satisfies the equation:",1,$(x^2-y^2)\frac{\partial f}{\partial x}+xy\frac{\partial f}{\partial y}=xyf$,$(x^2-y^2)\frac{\partial^2 f}{\partial x^2}+xy\frac{\partial^2 f}{\partial y^2}=x^2y^2f$,$(x^2+y^2)\frac{\partial f}{\partial x}+(x+y)\frac{\partial f}{\partial y}=\frac{x}{y}f$,$\frac{\partial f}{\partial x}+\frac{xy}{x^2+y^2}\frac{\partial f}{\partial y}=f$,4,Differentiation,$(x^2-y^2)\frac{\partial f}{\partial x}+xy\frac{\partial f}{\partial y}=xyf$,63
154,"Find the critical and the extremum points of the function:
\[
f(x,y,z)=x^{3}+y^{3}+z^{3}+8(xy+xz+yz)-20(x^{2}+y^{2}+z^{2})+17
\].",1,"$$\begin{align*}
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)  ,~M_{3}\left(  \frac{16}{3}
,\frac{16}{3},\frac{32}{3}\right)  ,~M_{4}\left(  \frac{32}{3},\frac{16}
{3},\frac{16}{3}\right)  ,~M_{5}\left(  \frac{16}{3},\frac{32}{3},\frac{16}
{3}\right)\\
&\text{ critical points}\\
& M_{1}(0,0,0)\text{ is a maximizer}
\end{align*}$$","$$\begin{align*}
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)  ,~M_{3}\left(  \frac{16}{3}
,\frac{16}{3},\frac{32}{3}\right)  ,~M_{4}\left(  \frac{32}{3},\frac{16}
{3},\frac{16}{3}\right)  ,~M_{5}\left(  \frac{16}{3},\frac{32}{3},\frac{16}
{3}\right)\\
& \text{ critical points}\\
& M_{1}(0,0,0)\text{ maximizer},~M_{2}\left(  8,8,8\right)\text{ minimizer}%
\end{align*}$$","$$\begin{align*}
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)  \text{ critical points}\\
& M_{1}(0,0,0)\text{ maximizer},~M_{2}\left(  8,8,8\right)\text{ minimizer}%
\end{align*}$$","$$\begin{align*}
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)  \text{ critical points}\\
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)\text{ minimizer}
\end{align*}$$",12,Optimization,"$$\begin{align*}
& M_{1}(0,0,0),~M_{2}\left(  8,8,8\right)  ,~M_{3}\left(  \frac{16}{3}
,\frac{16}{3},\frac{32}{3}\right)  ,~M_{4}\left(  \frac{32}{3},\frac{16}
{3},\frac{16}{3}\right)  ,~M_{5}\left(  \frac{16}{3},\frac{32}{3},\frac{16}
{3}\right)\\
&\text{ critical points}\\
& M_{1}(0,0,0)\text{ is a maximizer}
\end{align*}$$",64
155,"Find all the extremum points of the function
\[
f(x,y,z)=xyz
\]
with respect to
\[
x+y+z=5,\quad x^{2}+y^{2}+z^{2}=9.
\]",1,"$$\begin{align*}
& M_{1}(2,2,1),~M_{2}\left(  2,1,2\right)  ,~M_{3}\left(  1,2,2\right)  \text{
minimizers,}\\
& M_{4}\left(  \frac{4}{3},\frac{4}{3},\frac{7}{3}\right)  ,~M_{5}\left(
\frac{4}{3},\frac{7}{3},\frac{4}{3}\right)  ,\text{ }M_{6}\left(  \frac{7}
{3},\frac{4}{3},\frac{4}{3}\right)  \text{ maximizers}%
\end{align*}$$","$$\begin{align*}
& M_{4}\left(  \frac{4}{3},\frac{4}{3},\frac{7}{3}\right)  ,~M_{5}\left(
\frac{4}{3},\frac{7}{3},\frac{4}{3}\right)  ,\text{ }M_{6}\left(  \frac{7}
{3},\frac{4}{3},\frac{4}{3}\right)  \text{ maximizers}
\end{align*}$$","$$\begin{align*}
& M_{1}(2,2,1),~M_{2}\left(  2,1,2\right)  ,~M_{3}\left(  1,2,2\right)  \text{
minimizers}
\end{align*}$$","$$\begin{align*}
& M_{1}(2,2,1),~M_{2}\left(  2,1,2\right)  ,~M_{3}\left(  1,2,2\right)  \text{
maximizers}
\end{align*}$$",12,Optimization,"$$\begin{align*}
& M_{1}(2,2,1),~M_{2}\left(  2,1,2\right)  ,~M_{3}\left(  1,2,2\right)  \text{
minimizers,}\\
& M_{4}\left(  \frac{4}{3},\frac{4}{3},\frac{7}{3}\right)  ,~M_{5}\left(
\frac{4}{3},\frac{7}{3},\frac{4}{3}\right)  ,\text{ }M_{6}\left(  \frac{7}
{3},\frac{4}{3},\frac{4}{3}\right)  \text{ maximizers}%
\end{align*}$$",65
166,"Given a fixed point $P(a,b,c)$ in the first octant ($a>0,~b>0,~c>0$), consider a variable plane which contains $P$ and intersects the coordinate axes $O_x,$ $O_y$ and $O_z$ at the points $A,$ $B$ and $C,$ respectively. Find the minimum volume of the tetrahedron $OABC$.",1,$\frac{9}{2}abc$,$\frac{abc}{3}$,$\frac{4}{3}abc$,$\frac{3}{2}abc$,12,Optimization,$\frac{9}{2}abc$,76
171,"Determine the set of continuity points of the function $f:\mathbb{R}^{2} \rightarrow \mathbb{R}$ given by 
$f(x,y) = \begin{cases}
\dfrac{(x^{4}-y^{2})^{2}}{x^6} & \text{if } y^{2}<{x^{4}} \\
y & \text{if }y^{2}\geq {x^{4}}
\end{cases}$.",2,"$\left\{(x,y)\in\mathbb{R}^{2} \mid y^{2} \neq x^{4}\right\} \cup\left\{\left(0,0\right)\right\}$.","$\left\{\left(0,0\right)\right\}$.","$\left\{(x,y) \in \mathbb{R}^{2} \mid y^{2} \neq x^{4}\right\}$.",$\mathbb{R}^{2}$.,15,Real Functions of Several Variables,"$\left\{(x,y)\in\mathbb{R}^{2} \mid y^{2} \neq x^{4}\right\} \cup\left\{\left(0,0\right)\right\}$.",81
173,"In case of existence, compute the $\lim\limits_{(x,y,z) \rightarrow (0,0,0)}\left(  x^2+y^2+z^2\right)
^{(xy+yz+zx)^2}$.",2,The limit exists and is equal to $0$.,The limit does not exist.,The limit exists and is equal to $e^1$.,The limit exists and is equal to $1$.,15,Real Functions of Several Variables,The limit exists and is equal to $0$.,83
174,"Consider the function $f: \mathbb{R}^2 \rightarrow \mathbb{R}$ given by

$$f(x,y)=\begin{cases}
(x^2+y^2) \cdot \sin\left(\dfrac{1}{\sqrt{x^2+y^2}}\right) & \text{if } (x,y) \neq (0,0) \\
0 & \text{if } (x,y) = (0,0)
\end{cases}$$

Establish if $f$ is differentiable at $(0,0)$ and if $\dfrac{\partial f}{\partial x}$ and $\dfrac{\partial f}{\partial y}$ exist and are continuous at $(0,0)$.",2,"$f$ is differentiable at $(0,0)$, but $\dfrac{\partial f}{\partial x}$ and $\dfrac{\partial f}{\partial y}$ are not continuous at $(0,0)$.","$f$ is not differentiable at $(0,0)$, and $\dfrac{\partial f}{\partial x}, \dfrac{\partial f}{\partial y}$ are not continuous at $(0,0)$.","$f$ is differentiable at $(0,0)$, and $\dfrac{\partial f}{\partial x}, \dfrac{\partial f}{\partial y}$ are continuous at $(0,0)$.","$f$ is differentiable at $(0,0)$, and $\dfrac{\partial f}{\partial x}$ and $\dfrac{\partial f}{\partial y}$ do not exist at $(0,0)$.",15,Real Functions of Several Variables,"$f$ is differentiable at $(0,0)$, but $\dfrac{\partial f}{\partial x}$ and $\dfrac{\partial f}{\partial y}$ are not continuous at $(0,0)$.",84
175,"Consider the function $f:\mathbb{R}^{2} \rightarrow \mathbb{R}$ given by

$$f(x,y):=\begin{cases}
xy\dfrac{x^2-y^2}{x^2+y^2} & \text{if } (x,y)=(0,0) \\
0 & \text{if } (x,y) = (0,0)
\end{cases}$$

Calculate the second order derivatives at $(0,0)$ and establish if they are equal.",1,"$1 = \dfrac{\partial^2 f}{\partial x \partial y}(0,0) \neq \dfrac{\partial^2 f}{\partial y \partial x}(0,0) = -1$.","$\dfrac{\partial^2 f}{\partial x \partial y}(0,0) = \dfrac{\partial^2 f}{\partial y \partial x}(0,0) = -1$.","$\dfrac{\partial^2 f}{\partial x \partial y}(0,0) = \dfrac{\partial^2 f}{\partial y \partial x}(0,0) = 1$.","$\dfrac{\partial^2 f}{\partial x \partial y}(0,0) = \dfrac{\partial^2 f}{\partial y \partial x}(0,0)=0$.",15,Real Functions of Several Variables,"$1 = \dfrac{\partial^2 f}{\partial x \partial y}(0,0) \neq \dfrac{\partial^2 f}{\partial y \partial x}(0,0) = -1$.",85
176,"If $f$ is given by $f(x,y)=(x^{2}%
+y^{2})\arctan\bigg(\dfrac{y}{x}\bigg)$, compute the expression $x^{2}\dfrac{\partial
^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial x\partial y}%
+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}.$",1,"$x^{2}\dfrac{\partial^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial
x\partial y}+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}=2f(x,y)$","$x^{2}\dfrac{\partial^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial
x\partial y}+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}=f(x,y)$","$x^{2}\dfrac{\partial^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial
x\partial y}+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}=-f(x,y)$","$x^{2}\dfrac{\partial^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial
x\partial y}+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}=\arctan\bigg(\dfrac{y}{x}\bigg)$",4,Differentiation,"$x^{2}\dfrac{\partial^{2}f}{\partial x^{2}}+2xy\dfrac{\partial^{2}f}{\partial
x\partial y}+y^{2}\dfrac{\partial^{2}f}{\partial y^{2}}=2f(x,y)$",86
192, Find $\displaystyle \int \sqrt{1-x^2}\: dx$ ,1,$\displaystyle \frac{1}{2}\arcsin{(x)}+\frac{x}{2}\sqrt{1-x^2}+c$,"$\arcsin{(1-x^2)}+c$
","$\sqrt{1-x^2}+c$
",$x+c$,5,Integration,$\displaystyle \frac{1}{2}\arcsin{(x)}+\frac{x}{2}\sqrt{1-x^2}+c$,102
250,Differentiate $y=\dfrac{(x+3)^2}{x}$.,1,$\dfrac{dy}{dx}=1-\dfrac{9}{x^2}$,$\dfrac{dy}{dx}=1+\dfrac{6}{x^2}$,$\dfrac{dy}{dx}=1-\dfrac{9}{x}$,$\dfrac{dy}{dx}=\dfrac{9}{x^2}-1$,4,Differentiation,$\dfrac{dy}{dx}=1-\dfrac{9}{x^2}$,157
252,Differentiate $\displaystyle{y=6x-\frac{4}{\sqrt x}+\frac{1}{x}}$.,4,$\displaystyle{\frac{dy}{dx}=6+\frac{2}{\sqrt{x^3}}-\frac{1}{x^2}}$,$\displaystyle{\frac{dy}{dx}=4-\frac{4}{\sqrt{x^3}}+x^2}$,$\displaystyle{\frac{dy}{dx}=6-\frac{2}{\sqrt{x^3}}-x^2}$,$\displaystyle \frac{dy}{dx}=6+\frac{2}{\sqrt{(x^3)}}+x^2$,4,Differentiation,$\displaystyle{\frac{dy}{dx}=6+\frac{2}{\sqrt{x^3}}-\frac{1}{x^2}}$,159
