quiz_id,mcq_1,mcq_2,mcq_3,mcq_4,mcq_5,mcq_6,mcq_7,mcq_8,mcq_9,mcq_10,topic_coverage_0,topic_coverage_1,topic_coverage_2,topic_coverage_3,topic_coverage_4,topic_coverage_5,topic_coverage_6,topic_coverage_7,topic_coverage_8,topic_coverage_9,difficulty_coverage_0,difficulty_coverage_1,difficulty_coverage_2,difficulty_coverage_3,difficulty_coverage_4,difficulty_coverage_5
100,859,166,961,1278,846,1741,1755,199,256,948,0.2,0.1,0.0,0.0,0.1,0.0,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1
101,1777,1079,1685,272,1313,772,964,1359,808,848,0.1,0.0,0.2,0.2,0.0,0.2,0.1,0.0,0.1,0.1,0.3,0.0,0.0,0.4,0.2,0.1
102,867,1546,289,1034,28,1404,1691,927,1447,859,0.1,0.2,0.0,0.1,0.0,0.2,0.1,0.0,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.0
103,751,219,892,1836,959,479,1124,190,1569,208,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.1,0.2,0.3,0.0
104,1909,250,391,175,1092,437,1031,1050,1099,889,0.0,0.2,0.3,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.2,0.3,0.3,0.0
105,585,309,1580,1730,1104,575,506,237,650,606,0.2,0.2,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.3,0.1,0.3,0.0
106,579,850,1428,697,1741,1642,1283,859,919,1070,0.2,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.4,0.2,0.1,0.0
107,1277,773,803,1028,957,963,1565,1584,1395,643,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.0
108,1142,1777,364,233,1757,241,443,853,967,564,0.1,0.0,0.2,0.1,0.2,0.1,0.2,0.0,0.0,0.1,0.3,0.2,0.0,0.4,0.1,0.0
109,358,1054,1310,929,1033,653,1446,1344,1357,268,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.3,0.4,0.2,0.0
110,1434,1250,1054,1328,845,248,1428,1258,1128,772,0.0,0.0,0.1,0.1,0.2,0.0,0.3,0.3,0.0,0.0,0.1,0.2,0.2,0.3,0.0,0.2
111,1242,419,746,81,1388,7,860,956,1398,1803,0.1,0.1,0.1,0.1,0.1,0.0,0.3,0.1,0.0,0.1,0.2,0.2,0.2,0.3,0.1,0.0
112,965,810,1753,1082,1125,716,1876,571,1580,1600,0.1,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.3,0.1,0.4,0.1,0.1,0.2,0.2,0.0
113,804,1179,1250,394,1329,374,8,1141,1155,948,0.1,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.0,0.4,0.2,0.1
114,1527,252,261,971,1341,1439,921,1416,392,1682,0.1,0.0,0.1,0.2,0.3,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.5,0.2,0.1,0.1
115,1777,921,8,623,1561,960,84,26,380,813,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.2,0.1,0.2,0.1,0.3,0.3,0.1,0.0
116,1909,667,1791,1333,1888,849,1066,1699,1813,780,0.1,0.1,0.1,0.3,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.3,0.1,0.0,0.6,0.0
117,1884,1403,1276,1717,251,839,948,254,650,902,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.1,0.3,0.1,0.2,0.2,0.1,0.2,0.1,0.2
118,81,834,813,849,1410,1034,800,1278,1535,274,0.2,0.0,0.1,0.1,0.0,0.0,0.2,0.1,0.2,0.1,0.3,0.4,0.1,0.1,0.1,0.0
119,578,646,1699,830,615,1553,917,1743,203,750,0.2,0.1,0.0,0.1,0.1,0.2,0.1,0.2,0.0,0.0,0.2,0.2,0.2,0.1,0.3,0.0
120,1713,975,758,373,1137,1063,1795,1580,1227,1033,0.1,0.1,0.2,0.0,0.1,0.0,0.2,0.0,0.1,0.2,0.3,0.1,0.0,0.3,0.3,0.0
121,840,808,765,395,1363,206,217,766,921,861,0.0,0.0,0.1,0.1,0.1,0.0,0.4,0.2,0.1,0.0,0.3,0.2,0.2,0.2,0.1,0.0
122,564,1298,1590,566,1150,1400,261,5,376,256,0.3,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.3,0.3,0.2,0.0,0.1,0.1
123,264,1769,1739,715,84,1414,850,845,717,957,0.1,0.0,0.1,0.0,0.1,0.1,0.5,0.0,0.0,0.1,0.1,0.4,0.3,0.1,0.1,0.0
124,1058,1277,854,969,718,1447,1253,257,956,644,0.1,0.0,0.0,0.0,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.0
125,832,562,22,963,737,968,567,922,1052,386,0.2,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.2,0.1,0.4,0.1,0.3,0.1,0.0
126,1585,396,1819,675,977,1057,575,1737,1131,239,0.3,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.6,0.1,0.1,0.1,0.1,0.0
127,583,1314,825,719,800,612,632,968,386,975,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.2,0.2,0.3,0.2,0.2,0.0,0.1
128,977,644,840,989,650,911,178,209,697,263,0.0,0.2,0.1,0.0,0.1,0.1,0.1,0.3,0.0,0.1,0.3,0.1,0.2,0.3,0.1,0.0
129,649,847,1739,1271,365,640,1136,565,1689,651,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.1,0.0,0.2,0.2,0.3,0.2,0.1,0.0
130,1244,1711,1277,1017,690,1737,595,816,1259,641,0.1,0.0,0.3,0.0,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.4,0.1,0.1,0.2,0.1
131,210,648,1039,266,957,1325,1684,1072,1034,394,0.2,0.1,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.2,0.1,0.4,0.0,0.4,0.0,0.1
132,1057,1735,954,1340,263,943,1601,920,1409,1406,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2
133,968,802,873,773,432,1348,696,1801,1035,480,0.0,0.0,0.2,0.0,0.1,0.2,0.1,0.0,0.2,0.2,0.1,0.4,0.1,0.4,0.0,0.0
134,791,231,875,17,907,390,558,291,1291,769,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.4,0.2,0.2,0.1
135,551,961,1701,716,644,1686,410,236,1065,1639,0.1,0.2,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.1,0.0,0.4,0.0,0.4,0.2,0.0
136,1328,1331,1320,242,642,1275,1090,1068,1372,173,0.0,0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.2,0.2,0.1,0.2,0.2
137,1676,1078,187,947,1657,889,1604,733,950,1422,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.0,0.0
138,639,1127,1791,828,1353,372,798,1606,1396,1097,0.1,0.0,0.3,0.2,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.3,0.4,0.0,0.2,0.0
139,1425,1384,1588,939,1674,768,944,1096,908,810,0.1,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.3,0.4,0.0,0.0,0.3,0.0
140,851,1747,797,1769,1063,860,1743,805,436,680,0.4,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0.2,0.1,0.4,0.2,0.0,0.1
141,793,917,1404,959,578,1723,268,1729,972,1765,0.2,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.2,0.2,0.2,0.4,0.3,0.1,0.0,0.0
142,681,970,1250,648,1450,1117,1249,205,1255,1759,0.0,0.0,0.1,0.2,0.3,0.0,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.4,0.2,0.1
143,1621,1079,700,1789,929,1052,233,241,569,921,0.1,0.2,0.1,0.1,0.3,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.2,0.1,0.5,0.0
144,1181,1059,1264,1878,1697,678,1699,1334,432,1807,0.1,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.1,0.0,0.4,0.0,0.2,0.1,0.2,0.1
145,692,1437,1138,365,1271,1251,1743,1431,693,251,0.1,0.0,0.1,0.0,0.3,0.2,0.0,0.2,0.1,0.0,0.3,0.1,0.0,0.3,0.1,0.2
146,1398,629,768,866,1283,1000,964,620,1082,273,0.0,0.1,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.1,0.2,0.2,0.1,0.3,0.2,0.0
147,1277,1403,800,571,682,564,565,967,850,550,0.4,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.1,0.1,0.6,0.1,0.0,0.1,0.1
148,1259,203,1900,374,1601,846,266,893,1841,1580,0.1,0.1,0.1,0.2,0.1,0.0,0.2,0.1,0.1,0.0,0.2,0.3,0.2,0.1,0.1,0.1
149,1604,1680,1617,875,313,615,1400,1387,938,1591,0.1,0.1,0.1,0.2,0.0,0.2,0.0,0.1,0.2,0.0,0.3,0.2,0.1,0.0,0.3,0.1
